0, 0, Header, 1, 17, 480
1, 0, Start_track
1, 35840, Tempo, 920245
1, 36000, Tempo, 910470
1, 36240, Tempo, 953895
1, 36560, Tempo, 899550
1, 36880, Tempo, 1271186
1, 36960, Tempo, 953895
1, 37500, Tempo, 977199
1, 37920, Tempo, 1063830
1, 38400, Tempo, 956938
1, 39840, Tempo, 927357
1, 40320, Tempo, 988468
1, 40440, Tempo, 1117318
1, 40560, Tempo, 792602
1, 41400, Tempo, 836820
1, 41760, Tempo, 899550
1, 42240, Tempo, 927357
1, 42360, Tempo, 1022147
1, 42480, Tempo, 906344
1, 42720, Tempo, 873362
1, 43200, Tempo, 920245
1, 43320, Tempo, 988468
1, 43440, Tempo, 913242
1, 44040, Tempo, 1183432
1, 44160, Tempo, 1117318
1, 44400, Tempo, 996678
1, 45120, Tempo, 1171875
1, 46080, Tempo, 1077199
1, 46320, Tempo, 996678
1, 47040, Tempo, 1171875
1, 47520, Tempo, 1058201
1, 48000, Tempo, 1039861
1, 49920, Tempo, 972447
1, 50880, Tempo, 996678
1, 51360, Tempo, 1022147
1, 51600, Tempo, 1058201
1, 51840, Tempo, 1107011
1, 51960, Tempo, 1421801
1, 52080, Tempo, 1022147
1, 53225, Tempo, 1013514
1, 53263, Tempo, 1022147
1, 53301, Tempo, 1030928
1, 53340, Tempo, 1039861
1, 53359, Tempo, 1048951
1, 53397, Tempo, 1058201
1, 53436, Tempo, 1067616
1, 53474, Tempo, 1077199
1, 53493, Tempo, 1086957
1, 53532, Tempo, 1096892
1, 53570, Tempo, 1107011
1, 53609, Tempo, 1117318
1, 53628, Tempo, 1127820
1, 53666, Tempo, 1138520
1, 53705, Tempo, 1149425
1, 53743, Tempo, 1160542
1, 53760, Tempo, 1342282
1, 53880, Tempo, 1834862
1, 54000, Tempo, 1357466
1, 55200, Tempo, 1492537
1, 55440, Tempo, 1583113
1, 55620, Tempo, 1973684
1, 55680, Tempo, 1719198
1, 56220, Tempo, 2040816
1, 57600, Tempo, 956938
1, 57600, End_track
2, 0, Start_track
2, 0, Title_t, "Piano right"
2, 0, Program_c, 0, 0
2, 0, Note_on_c, 0, 80, 50
2, 720, Note_on_c, 0, 80, 0
2, 720, Note_on_c, 0, 78, 47
2, 840, Note_on_c, 0, 78, 0
2, 840, Note_on_c, 0, 76, 45
2, 960, Note_on_c, 0, 76, 0
2, 960, Note_on_c, 0, 74, 49
2, 1200, Note_on_c, 0, 74, 0
2, 1200, Note_on_c, 0, 76, 42
2, 1280, Note_on_c, 0, 76, 0
2, 1280, Note_on_c, 0, 74, 42
2, 1360, Note_on_c, 0, 74, 0
2, 1360, Note_on_c, 0, 73, 42
2, 1440, Note_on_c, 0, 73, 0
2, 1440, Note_on_c, 0, 71, 48
2, 1680, Note_on_c, 0, 71, 0
2, 1680, Note_on_c, 0, 83, 50
2, 1920, Note_on_c, 0, 83, 0
2, 1920, Note_on_c, 0, 80, 46
2, 3120, Note_on_c, 0, 80, 0
2, 3120, Note_on_c, 0, 78, 47
2, 3240, Note_on_c, 0, 78, 0
2, 3240, Note_on_c, 0, 76, 42
2, 3360, Note_on_c, 0, 76, 0
2, 3360, Note_on_c, 0, 74, 50
2, 4260, Note_on_c, 0, 74, 0
2, 4260, Note_on_c, 0, 76, 46
2, 4320, Note_on_c, 0, 76, 0
2, 4320, Note_on_c, 0, 74, 53
2, 5220, Note_on_c, 0, 74, 0
2, 5220, Note_on_c, 0, 77, 49
2, 5280, Note_on_c, 0, 77, 0
2, 5280, Note_on_c, 0, 74, 59
2, 6120, Note_on_c, 0, 74, 0
2, 6120, Note_on_c, 0, 79, 43
2, 6180, Note_on_c, 0, 79, 0
2, 6180, Note_on_c, 0, 77, 37
2, 6240, Note_on_c, 0, 77, 0
2, 6240, Note_on_c, 0, 74, 33
2, 7680, Note_on_c, 0, 74, 0
2, 7680, Note_on_c, 0, 73, 49
2, 7860, Note_on_c, 0, 73, 0
2, 7860, Note_on_c, 0, 71, 45
2, 7920, Note_on_c, 0, 71, 0
2, 7920, Note_on_c, 0, 73, 49
2, 8100, Note_on_c, 0, 73, 0
2, 8100, Note_on_c, 0, 74, 43
2, 8160, Note_on_c, 0, 74, 0
2, 8160, Note_on_c, 0, 76, 49
2, 8340, Note_on_c, 0, 76, 0
2, 8340, Note_on_c, 0, 74, 45
2, 8400, Note_on_c, 0, 74, 0
2, 8400, Note_on_c, 0, 73, 49
2, 8580, Note_on_c, 0, 73, 0
2, 8580, Note_on_c, 0, 71, 46
2, 8640, Note_on_c, 0, 71, 0
2, 8640, Note_on_c, 0, 73, 49
2, 8820, Note_on_c, 0, 73, 0
2, 8820, Note_on_c, 0, 71, 46
2, 8880, Note_on_c, 0, 71, 0
2, 8880, Note_on_c, 0, 73, 49
2, 9060, Note_on_c, 0, 73, 0
2, 9060, Note_on_c, 0, 74, 43
2, 9120, Note_on_c, 0, 74, 0
2, 9120, Note_on_c, 0, 76, 49
2, 9200, Note_on_c, 0, 76, 0
2, 9200, Note_on_c, 0, 77, 43
2, 9280, Note_on_c, 0, 77, 0
2, 9280, Note_on_c, 0, 76, 43
2, 9360, Note_on_c, 0, 76, 0
2, 9360, Note_on_c, 0, 74, 48
2, 9440, Note_on_c, 0, 74, 0
2, 9440, Note_on_c, 0, 73, 45
2, 9520, Note_on_c, 0, 73, 0
2, 9520, Note_on_c, 0, 71, 45
2, 9600, Note_on_c, 0, 71, 0
2, 9600, Note_on_c, 0, 73, 45
2, 9780, Note_on_c, 0, 73, 0
2, 9780, Note_on_c, 0, 74, 45
2, 9840, Note_on_c, 0, 74, 0
2, 9840, Note_on_c, 0, 71, 38
2, 11520, Note_on_c, 0, 71, 0
2, 11520, Note_on_c, 0, 73, 49
2, 11700, Note_on_c, 0, 73, 0
2, 11700, Note_on_c, 0, 71, 45
2, 11760, Note_on_c, 0, 71, 0
2, 11760, Note_on_c, 0, 73, 49
2, 11940, Note_on_c, 0, 73, 0
2, 11940, Note_on_c, 0, 74, 43
2, 12000, Note_on_c, 0, 74, 0
2, 12000, Note_on_c, 0, 76, 49
2, 12180, Note_on_c, 0, 76, 0
2, 12180, Note_on_c, 0, 74, 45
2, 12240, Note_on_c, 0, 74, 0
2, 12240, Note_on_c, 0, 73, 49
2, 12420, Note_on_c, 0, 73, 0
2, 12420, Note_on_c, 0, 71, 46
2, 12480, Note_on_c, 0, 71, 0
2, 12480, Note_on_c, 0, 73, 49
2, 12660, Note_on_c, 0, 73, 0
2, 12660, Note_on_c, 0, 71, 46
2, 12720, Note_on_c, 0, 71, 0
2, 12720, Note_on_c, 0, 73, 49
2, 12900, Note_on_c, 0, 73, 0
2, 12900, Note_on_c, 0, 74, 43
2, 12960, Note_on_c, 0, 74, 0
2, 12960, Note_on_c, 0, 76, 49
2, 13040, Note_on_c, 0, 76, 0
2, 13040, Note_on_c, 0, 77, 43
2, 13120, Note_on_c, 0, 77, 0
2, 13120, Note_on_c, 0, 76, 43
2, 13200, Note_on_c, 0, 76, 0
2, 13200, Note_on_c, 0, 74, 48
2, 13280, Note_on_c, 0, 74, 0
2, 13280, Note_on_c, 0, 73, 45
2, 13360, Note_on_c, 0, 73, 0
2, 13360, Note_on_c, 0, 71, 45
2, 13440, Note_on_c, 0, 71, 0
2, 13440, Note_on_c, 0, 73, 45
2, 13620, Note_on_c, 0, 73, 0
2, 13620, Note_on_c, 0, 74, 45
2, 13680, Note_on_c, 0, 74, 0
2, 13680, Note_on_c, 0, 71, 38
2, 15040, Note_on_c, 0, 71, 0
2, 15040, Note_on_c, 0, 69, 32
2, 15200, Note_on_c, 0, 69, 0
2, 15200, Note_on_c, 0, 68, 30
2, 15360, Note_on_c, 0, 68, 0
2, 15360, Note_on_c, 0, 66, 34
2, 15360, Note_on_c, 0, 62, 27
2, 15540, Note_on_c, 0, 66, 0
2, 15540, Note_on_c, 0, 68, 30
2, 15600, Note_on_c, 0, 68, 0
2, 15600, Note_on_c, 0, 64, 25
2, 17280, Note_on_c, 0, 64, 0
2, 17280, Note_on_c, 0, 62, 0
2, 17280, Note_on_c, 0, 61, 23
2, 17280, Note_on_c, 0, 64, 28
2, 18240, Note_on_c, 0, 88, 33
2, 18240, Note_on_c, 0, 85, 28
2, 20160, Note_on_c, 0, 85, 0
2, 20160, Note_on_c, 0, 61, 0
2, 20160, Note_on_c, 0, 64, 0
2, 20160, Note_on_c, 0, 88, 0
2, 21120, Note_on_c, 0, 68, 45
2, 21240, Note_on_c, 0, 68, 0
2, 21240, Note_on_c, 0, 71, 41
2, 21360, Note_on_c, 0, 71, 0
2, 21360, Note_on_c, 0, 73, 49
2, 21840, Note_on_c, 0, 73, 0
2, 21840, Note_on_c, 0, 76, 49
2, 22080, Note_on_c, 0, 76, 0
2, 22080, Note_on_c, 0, 75, 49
2, 22320, Note_on_c, 0, 75, 0
2, 22320, Note_on_c, 0, 73, 54
2, 22440, Note_on_c, 0, 73, 0
2, 22440, Note_on_c, 0, 71, 46
2, 22560, Note_on_c, 0, 71, 0
2, 22560, Note_on_c, 0, 68, 51
2, 22800, Note_on_c, 0, 68, 0
2, 22800, Note_on_c, 0, 78, 58
2, 23040, Note_on_c, 0, 78, 0
2, 23040, Note_on_c, 0, 76, 56
2, 23280, Note_on_c, 0, 76, 0
2, 23280, Note_on_c, 0, 75, 49
2, 23360, Note_on_c, 0, 75, 0
2, 23360, Note_on_c, 0, 73, 46
2, 23440, Note_on_c, 0, 73, 0
2, 23440, Note_on_c, 0, 71, 46
2, 23520, Note_on_c, 0, 71, 0
2, 23520, Note_on_c, 0, 68, 54
2, 24480, Note_on_c, 0, 68, 0
2, 24480, Note_on_c, 0, 75, 46
2, 24720, Note_on_c, 0, 75, 0
2, 24720, Note_on_c, 0, 73, 42
2, 24800, Note_on_c, 0, 73, 0
2, 24800, Note_on_c, 0, 71, 41
2, 24880, Note_on_c, 0, 71, 0
2, 24880, Note_on_c, 0, 68, 40
2, 24960, Note_on_c, 0, 68, 0
2, 24960, Note_on_c, 0, 66, 38
2, 26400, Note_on_c, 0, 66, 0
2, 26400, Note_on_c, 0, 75, 46
2, 26640, Note_on_c, 0, 75, 0
2, 26640, Note_on_c, 0, 73, 42
2, 26720, Note_on_c, 0, 73, 0
2, 26720, Note_on_c, 0, 71, 41
2, 26800, Note_on_c, 0, 71, 0
2, 26800, Note_on_c, 0, 68, 40
2, 26880, Note_on_c, 0, 68, 0
2, 26880, Note_on_c, 0, 66, 38
2, 27360, Note_on_c, 0, 66, 0
2, 27360, Note_on_c, 0, 75, 46
2, 27600, Note_on_c, 0, 75, 0
2, 27600, Note_on_c, 0, 73, 42
2, 27680, Note_on_c, 0, 73, 0
2, 27680, Note_on_c, 0, 71, 41
2, 27760, Note_on_c, 0, 71, 0
2, 27760, Note_on_c, 0, 68, 40
2, 27840, Note_on_c, 0, 68, 0
2, 27840, Note_on_c, 0, 66, 38
2, 28320, Note_on_c, 0, 66, 0
2, 28320, Note_on_c, 0, 69, 46
2, 28560, Note_on_c, 0, 69, 0
2, 28560, Note_on_c, 0, 68, 46
2, 28640, Note_on_c, 0, 68, 0
2, 28640, Note_on_c, 0, 66, 41
2, 28720, Note_on_c, 0, 66, 0
2, 28720, Note_on_c, 0, 64, 40
2, 28800, Note_on_c, 0, 64, 0
2, 28800, Note_on_c, 0, 61, 34
2, 28800, Note_on_c, 0, 57, 27
2, 28980, Note_on_c, 0, 61, 0
2, 28980, Note_on_c, 0, 63, 30
2, 29040, Note_on_c, 0, 63, 0
2, 29040, Note_on_c, 0, 59, 25
2, 30720, Note_on_c, 0, 59, 0
2, 30720, Note_on_c, 0, 57, 0
2, 30720, Note_on_c, 0, 56, 23
2, 30720, Note_on_c, 0, 59, 28
2, 31680, Note_on_c, 0, 83, 33
2, 31680, Note_on_c, 0, 80, 28
2, 33600, Note_on_c, 0, 80, 0
2, 33600, Note_on_c, 0, 56, 0
2, 33600, Note_on_c, 0, 59, 0
2, 33600, Note_on_c, 0, 83, 0
2, 34800, Note_on_c, 0, 74, 45
2, 34880, Note_on_c, 0, 74, 0
2, 34880, Note_on_c, 0, 77, 45
2, 34960, Note_on_c, 0, 77, 0
2, 34960, Note_on_c, 0, 78, 47
2, 35040, Note_on_c, 0, 78, 0
2, 35040, Note_on_c, 0, 80, 49
2, 35760, Note_on_c, 0, 80, 0
2, 35760, Note_on_c, 0, 81, 49
2, 36000, Note_on_c, 0, 81, 0
2, 36000, Note_on_c, 0, 80, 49
2, 36240, Note_on_c, 0, 80, 0
2, 36240, Note_on_c, 0, 78, 54
2, 36360, Note_on_c, 0, 78, 0
2, 36360, Note_on_c, 0, 77, 46
2, 36480, Note_on_c, 0, 77, 0
2, 36480, Note_on_c, 0, 74, 56
2, 36560, Note_on_c, 0, 74, 0
2, 36560, Note_on_c, 0, 83, 62
2, 36640, Note_on_c, 0, 83, 0
2, 36640, Note_on_c, 0, 81, 56
2, 36720, Note_on_c, 0, 81, 0
2, 36720, Note_on_c, 0, 80, 54
2, 36800, Note_on_c, 0, 80, 0
2, 36800, Note_on_c, 0, 78, 57
2, 36880, Note_on_c, 0, 78, 0
2, 36880, Note_on_c, 0, 77, 60
2, 36960, Note_on_c, 0, 77, 0
2, 36960, Note_on_c, 0, 74, 61
2, 37920, Note_on_c, 0, 74, 0
2, 37920, Note_on_c, 0, 78, 46
2, 38400, Note_on_c, 0, 78, 0
2, 38400, Note_on_c, 0, 77, 49
2, 38580, Note_on_c, 0, 77, 0
2, 38580, Note_on_c, 0, 75, 45
2, 38640, Note_on_c, 0, 75, 0
2, 38640, Note_on_c, 0, 77, 49
2, 38820, Note_on_c, 0, 77, 0
2, 38820, Note_on_c, 0, 78, 43
2, 38880, Note_on_c, 0, 78, 0
2, 38880, Note_on_c, 0, 80, 49
2, 39060, Note_on_c, 0, 80, 0
2, 39060, Note_on_c, 0, 78, 45
2, 39120, Note_on_c, 0, 78, 0
2, 39120, Note_on_c, 0, 77, 49
2, 39300, Note_on_c, 0, 77, 0
2, 39300, Note_on_c, 0, 75, 46
2, 39360, Note_on_c, 0, 75, 0
2, 39360, Note_on_c, 0, 77, 49
2, 39540, Note_on_c, 0, 77, 0
2, 39540, Note_on_c, 0, 75, 46
2, 39600, Note_on_c, 0, 75, 0
2, 39600, Note_on_c, 0, 77, 49
2, 39780, Note_on_c, 0, 77, 0
2, 39780, Note_on_c, 0, 78, 43
2, 39840, Note_on_c, 0, 78, 0
2, 39840, Note_on_c, 0, 80, 49
2, 39920, Note_on_c, 0, 80, 0
2, 39920, Note_on_c, 0, 81, 43
2, 40000, Note_on_c, 0, 81, 0
2, 40000, Note_on_c, 0, 80, 43
2, 40080, Note_on_c, 0, 80, 0
2, 40080, Note_on_c, 0, 78, 48
2, 40160, Note_on_c, 0, 78, 0
2, 40160, Note_on_c, 0, 77, 45
2, 40240, Note_on_c, 0, 77, 0
2, 40240, Note_on_c, 0, 75, 45
2, 40320, Note_on_c, 0, 75, 0
2, 40320, Note_on_c, 0, 73, 45
2, 40500, Note_on_c, 0, 73, 0
2, 40500, Note_on_c, 0, 75, 45
2, 40560, Note_on_c, 0, 75, 0
2, 40560, Note_on_c, 0, 72, 38
2, 41920, Note_on_c, 0, 72, 0
2, 41920, Note_on_c, 0, 73, 45
2, 42080, Note_on_c, 0, 73, 0
2, 42080, Note_on_c, 0, 75, 50
2, 42240, Note_on_c, 0, 75, 0
2, 42240, Note_on_c, 0, 77, 54
2, 42420, Note_on_c, 0, 77, 0
2, 42420, Note_on_c, 0, 78, 47
2, 42480, Note_on_c, 0, 78, 0
2, 42480, Note_on_c, 0, 75, 46
2, 42880, Note_on_c, 0, 75, 0
2, 42880, Note_on_c, 0, 77, 48
2, 43040, Note_on_c, 0, 77, 0
2, 43040, Note_on_c, 0, 78, 58
2, 43200, Note_on_c, 0, 78, 0
2, 43200, Note_on_c, 0, 80, 60
2, 43380, Note_on_c, 0, 80, 0
2, 43380, Note_on_c, 0, 82, 57
2, 43440, Note_on_c, 0, 82, 0
2, 43440, Note_on_c, 0, 78, 57
2, 43840, Note_on_c, 0, 78, 0
2, 43840, Note_on_c, 0, 80, 63
2, 44000, Note_on_c, 0, 80, 0
2, 44000, Note_on_c, 0, 82, 67
2, 44160, Note_on_c, 0, 82, 0
2, 44160, Note_on_c, 0, 84, 59
2, 44160, Note_on_c, 0, 73, 59
2, 44340, Note_on_c, 0, 84, 0
2, 44340, Note_on_c, 0, 85, 50
2, 44400, Note_on_c, 0, 85, 0
2, 44400, Note_on_c, 0, 82, 53
2, 45120, Note_on_c, 0, 82, 0
2, 45120, Note_on_c, 0, 73, 0
2, 45120, Note_on_c, 0, 70, 30
2, 45120, Note_on_c, 0, 65, 30
2, 45300, Note_on_c, 0, 65, 0
2, 45300, Note_on_c, 0, 67, 28
2, 45360, Note_on_c, 0, 63, 31
2, 46080, Note_on_c, 0, 63, 0
2, 46080, Note_on_c, 0, 67, 0
2, 46080, Note_on_c, 0, 70, 0
2, 46080, Note_on_c, 0, 84, 41
2, 46080, Note_on_c, 0, 73, 41
2, 46260, Note_on_c, 0, 84, 0
2, 46260, Note_on_c, 0, 85, 37
2, 46320, Note_on_c, 0, 85, 0
2, 46320, Note_on_c, 0, 82, 34
2, 47040, Note_on_c, 0, 82, 0
2, 47040, Note_on_c, 0, 73, 0
2, 47040, Note_on_c, 0, 70, 30
2, 47040, Note_on_c, 0, 65, 30
2, 47220, Note_on_c, 0, 65, 0
2, 47220, Note_on_c, 0, 67, 28
2, 47280, Note_on_c, 0, 63, 31
2, 48240, Note_on_c, 0, 63, 0
2, 48240, Note_on_c, 0, 63, 31
2, 48480, Note_on_c, 0, 67, 0
2, 48480, Note_on_c, 0, 70, 0
2, 49920, Note_on_c, 0, 63, 0
2, 49920, Note_on_c, 0, 73, 39
2, 50100, Note_on_c, 0, 73, 0
2, 50100, Note_on_c, 0, 71, 36
2, 50160, Note_on_c, 0, 71, 0
2, 50160, Note_on_c, 0, 73, 39
2, 50340, Note_on_c, 0, 73, 0
2, 50340, Note_on_c, 0, 74, 34
2, 50400, Note_on_c, 0, 74, 0
2, 50400, Note_on_c, 0, 76, 39
2, 50580, Note_on_c, 0, 76, 0
2, 50580, Note_on_c, 0, 74, 36
2, 50640, Note_on_c, 0, 74, 0
2, 50640, Note_on_c, 0, 73, 39
2, 50820, Note_on_c, 0, 73, 0
2, 50820, Note_on_c, 0, 71, 36
2, 50880, Note_on_c, 0, 71, 0
2, 50880, Note_on_c, 0, 73, 39
2, 51060, Note_on_c, 0, 73, 0
2, 51060, Note_on_c, 0, 71, 36
2, 51120, Note_on_c, 0, 71, 0
2, 51120, Note_on_c, 0, 73, 39
2, 51300, Note_on_c, 0, 73, 0
2, 51300, Note_on_c, 0, 74, 34
2, 51360, Note_on_c, 0, 74, 0
2, 51360, Note_on_c, 0, 76, 39
2, 51440, Note_on_c, 0, 76, 0
2, 51440, Note_on_c, 0, 77, 34
2, 51520, Note_on_c, 0, 77, 0
2, 51520, Note_on_c, 0, 76, 34
2, 51600, Note_on_c, 0, 76, 0
2, 51600, Note_on_c, 0, 74, 38
2, 51680, Note_on_c, 0, 74, 0
2, 51680, Note_on_c, 0, 73, 36
2, 51760, Note_on_c, 0, 73, 0
2, 51760, Note_on_c, 0, 71, 36
2, 51840, Note_on_c, 0, 71, 0
2, 51840, Note_on_c, 0, 73, 36
2, 52020, Note_on_c, 0, 73, 0
2, 52020, Note_on_c, 0, 74, 36
2, 52080, Note_on_c, 0, 74, 0
2, 52080, Note_on_c, 0, 71, 30
2, 53440, Note_on_c, 0, 71, 0
2, 53440, Note_on_c, 0, 69, 25
2, 53600, Note_on_c, 0, 69, 0
2, 53600, Note_on_c, 0, 68, 24
2, 53760, Note_on_c, 0, 68, 0
2, 53760, Note_on_c, 0, 66, 27
2, 53760, Note_on_c, 0, 62, 21
2, 53940, Note_on_c, 0, 66, 0
2, 53940, Note_on_c, 0, 68, 24
2, 54000, Note_on_c, 0, 68, 0
2, 54000, Note_on_c, 0, 64, 20
2, 55680, Note_on_c, 0, 64, 0
2, 55680, Note_on_c, 0, 62, 0
2, 55680, Note_on_c, 0, 61, 18
2, 55680, Note_on_c, 0, 64, 22
2, 56640, Note_on_c, 0, 88, 26
2, 56640, Note_on_c, 0, 85, 22
2, 58560, Note_on_c, 0, 85, 0
2, 58560, Note_on_c, 0, 61, 0
2, 58560, Note_on_c, 0, 64, 0
2, 58560, Note_on_c, 0, 88, 0
2, 58560, End_track
3, 0, Start_track
3, 0, Title_t, "Piano left"
3, 0, Program_c, 0, 0
3, 7680, Note_on_c, 0, 65, 28
3, 7680, Note_on_c, 0, 67, 34
3, 8160, Note_on_c, 0, 67, 0
3, 8160, Note_on_c, 0, 68, 29
3, 8640, Note_on_c, 0, 68, 0
3, 8640, Note_on_c, 0, 65, 0
3, 8640, Note_on_c, 0, 65, 28
3, 8640, Note_on_c, 0, 67, 34
3, 9120, Note_on_c, 0, 67, 0
3, 9120, Note_on_c, 0, 68, 32
3, 9600, Note_on_c, 0, 68, 0
3, 9600, Note_on_c, 0, 65, 0
3, 9600, Note_on_c, 0, 64, 28
3, 9600, Note_on_c, 0, 67, 34
3, 10560, Note_on_c, 0, 67, 0
3, 10560, Note_on_c, 0, 64, 0
3, 10560, Note_on_c, 0, 66, 27
3, 10560, Note_on_c, 0, 63, 22
3, 11520, Note_on_c, 0, 63, 0
3, 11520, Note_on_c, 0, 66, 0
3, 11520, Note_on_c, 0, 62, 28
3, 11520, Note_on_c, 0, 65, 34
3, 12000, Note_on_c, 0, 65, 0
3, 12000, Note_on_c, 0, 62, 0
3, 12000, Note_on_c, 0, 57, 24
3, 12000, Note_on_c, 0, 64, 29
3, 12480, Note_on_c, 0, 64, 0
3, 12480, Note_on_c, 0, 57, 0
3, 12480, Note_on_c, 0, 62, 28
3, 12480, Note_on_c, 0, 65, 34
3, 12960, Note_on_c, 0, 65, 0
3, 12960, Note_on_c, 0, 62, 0
3, 12960, Note_on_c, 0, 57, 27
3, 12960, Note_on_c, 0, 64, 32
3, 13440, Note_on_c, 0, 64, 0
3, 13440, Note_on_c, 0, 57, 0
3, 13440, Note_on_c, 0, 62, 28
3, 13440, Note_on_c, 0, 65, 34
3, 14400, Note_on_c, 0, 65, 0
3, 14400, Note_on_c, 0, 66, 26
3, 14880, Note_on_c, 0, 66, 0
3, 14880, Note_on_c, 0, 62, 0
3, 14880, Note_on_c, 0, 64, 25
3, 14880, Note_on_c, 0, 61, 25
3, 15360, Note_on_c, 0, 61, 0
3, 15360, Note_on_c, 0, 64, 0
3, 15360, Note_on_c, 0, 57, 23
3, 15360, Note_on_c, 0, 47, 19
3, 15597, Note_on_c, 0, 56, 22
3, 15597, Note_on_c, 0, 52, 18
3, 15600, Note_on_c, 0, 47, 0
3, 15600, Note_on_c, 0, 57, 0
3, 16797, Note_on_c, 0, 56, 0
3, 16797, Note_on_c, 0, 52, 0
3, 16800, Note_on_c, 0, 52, 22
3, 17100, Note_on_c, 0, 52, 0
3, 17100, Note_on_c, 0, 50, 22
3, 17160, Note_on_c, 0, 50, 0
3, 17164, Note_on_c, 0, 49, 21
3, 17217, Note_on_c, 0, 47, 20
3, 17224, Note_on_c, 0, 49, 0
3, 17277, Note_on_c, 0, 47, 0
3, 17280, Note_on_c, 0, 52, 22
3, 17280, Note_on_c, 0, 45, 18
3, 17760, Note_on_c, 0, 33, 16
3, 17760, Note_on_c, 0, 40, 19
3, 20160, Note_on_c, 0, 40, 0
3, 20160, Note_on_c, 0, 52, 0
3, 20160, Note_on_c, 0, 45, 0
3, 20160, Note_on_c, 0, 33, 0
3, 24960, Note_on_c, 0, 57, 20
3, 24960, Note_on_c, 0, 59, 20
3, 24960, Note_on_c, 0, 64, 25
3, 25200, Note_on_c, 0, 64, 0
3, 25200, Note_on_c, 0, 63, 23
3, 25440, Note_on_c, 0, 63, 0
3, 25440, Note_on_c, 0, 61, 23
3, 25920, Note_on_c, 0, 59, 0
3, 25920, Note_on_c, 0, 57, 0
3, 26400, Note_on_c, 0, 61, 0
3, 26400, Note_on_c, 0, 54, 21
3, 26400, Note_on_c, 0, 57, 21
3, 26400, Note_on_c, 0, 64, 25
3, 26640, Note_on_c, 0, 64, 0
3, 26640, Note_on_c, 0, 57, 0
3, 26640, Note_on_c, 0, 54, 0
3, 26640, Note_on_c, 0, 56, 21
3, 26640, Note_on_c, 0, 62, 25
3, 26640, Note_on_c, 0, 59, 21
3, 26880, Note_on_c, 0, 59, 0
3, 26880, Note_on_c, 0, 62, 0
3, 26880, Note_on_c, 0, 56, 0
3, 26880, Note_on_c, 0, 57, 21
3, 26880, Note_on_c, 0, 61, 25
3, 27120, Note_on_c, 0, 61, 0
3, 27120, Note_on_c, 0, 57, 0
3, 27120, Note_on_c, 0, 56, 19
3, 27120, Note_on_c, 0, 59, 19
3, 27120, Note_on_c, 0, 63, 23
3, 27360, Note_on_c, 0, 63, 0
3, 27360, Note_on_c, 0, 59, 0
3, 27360, Note_on_c, 0, 56, 0
3, 27360, Note_on_c, 0, 54, 21
3, 27360, Note_on_c, 0, 57, 21
